Date,Rt,Et,Ret,Qt
94/07/09 01,0.000,0.000,0.000,0.478
94/07/09 02,0.000,0.000,0.000,0.4719
94/07/09 03,0.000,0.000,0.000,0.464
94/07/09 04,0.000,0.000,0.000,0.457
94/07/09 05,0.000,0.000,0.000,0.4563
94/07/09 06,0.000,0.032,0.000,0.451
94/07/09 07,0.000,0.074,0.000,0.4466
94/07/09 08,0.000,0.083,0.000,0.4396
94/07/09 09,0.000,0.138,0.000,0.4348
94/07/09 10,0.000,0.184,0.000,0.4284
94/07/09 11,0.000,0.209,0.000,0.4218
94/07/09 12,0.000,0.242,0.000,0.418
94/07/09 13,0.000,0.218,0.000,0.4154
94/07/09 14,0.000,0.229,0.000,0.411
94/07/09 15,0.000,0.205,0.000,0.411
94/07/09 16,0.000,0.199,0.000,0.411
94/07/09 17,0.000,0.155,0.000,0.411
94/07/09 18,0.000,0.114,0.000,0.411
94/07/09 19,0.000,0.073,0.000,0.4087
94/07/09 20,0.000,0.020,0.000,0.3989
94/07/09 21,0.000,0.000,0.000,0.3972
94/07/09 22,0.000,0.000,0.000,0.3935
94/07/09 23,0.000,0.000,0.000,0.392
94/07/10 00,0.004,0.000,0.004,0.3876
94/07/10 01,0.000,0.000,0.000,0.3911
94/07/10 02,0.000,0.000,0.000,0.392
94/07/10 03,0.000,0.000,0.000,0.392
94/07/10 04,0.000,0.000,0.000,0.392
94/07/10 05,0.000,0.000,0.000,0.392
94/07/10 06,0.000,0.013,0.000,0.392
94/07/10 07,0.000,0.052,0.000,0.392
94/07/10 08,0.000,0.095,0.000,0.392
94/07/10 09,0.000,0.083,0.000,0.3859
94/07/10 10,0.000,0.177,0.000,0.385
94/07/10 11,0.000,0.199,0.000,0.3828
94/07/10 12,0.000,0.228,0.000,0.379
94/07/10 13,0.000,0.239,0.000,0.3738
94/07/10 14,0.000,0.245,0.000,0.3737
94/07/10 15,0.000,0.226,0.000,0.3738
94/07/10 16,0.000,0.199,0.000,0.373
94/07/10 17,0.000,0.163,0.000,0.373
94/07/10 18,0.000,0.102,0.000,0.373
94/07/10 19,0.000,0.031,0.000,0.373
94/07/10 20,0.000,0.020,0.000,0.373
94/07/10 21,0.000,0.000,0.000,0.373
94/07/10 22,0.000,0.000,0.000,0.3678
94/07/10 23,0.000,0.000,0.000,0.367
94/07/11 00,0.000,0.000,0.000,0.367
94/07/11 01,0.000,0.000,0.000,0.367
94/07/11 02,0.000,0.000,0.000,0.367
94/07/11 03,0.000,0.000,0.000,0.367
94/07/11 04,0.000,0.000,0.000,0.3678
94/07/11 05,0.000,0.001,0.000,0.373
94/07/11 06,0.000,0.020,0.000,0.37
94/07/11 07,0.000,0.060,0.000,0.3708
94/07/11 08,0.000,0.108,0.000,0.367
94/07/11 09,0.000,0.161,0.000,0.367
94/07/11 10,0.000,0.208,0.000,0.367
94/07/11 11,0.000,0.241,0.000,0.3626
94/07/11 12,0.000,0.257,0.000,0.36
94/07/11 13,0.000,0.263,0.000,0.36
94/07/11 14,0.000,0.264,0.000,0.36
94/07/11 15,0.000,0.246,0.000,0.36
94/07/11 16,0.000,0.213,0.000,0.3609
94/07/11 17,0.000,0.173,0.000,0.3644
94/07/11 18,0.000,0.127,0.000,0.36
94/07/11 19,0.000,0.072,0.000,0.36
94/07/11 20,0.000,0.019,0.000,0.3548
94/07/11 21,0.000,0.000,0.000,0.3532
94/07/11 22,0.000,0.000,0.000,0.348
94/07/11 23,0.000,0.000,0.000,0.348
94/07/12 00,0.000,0.000,0.000,0.348
94/07/12 01,0.007,0.000,0.007,0.3502
94/07/12 02,0.000,0.000,0.000,0.3585
94/07/12 03,0.000,0.000,0.000,0.3495
94/07/12 04,0.000,0.000,0.000,0.3382
94/07/12 05,0.000,0.000,0.000,0.3383
94/07/12 06,0.000,0.020,0.000,0.3472
94/07/12 07,0.000,0.056,0.000,0.3518
94/07/12 08,0.001,0.102,0.000,0.354
94/07/12 09,0.000,0.150,0.000,0.354
94/07/12 10,0.000,0.194,0.000,0.3487
94/07/12 11,0.000,0.219,0.000,0.336
94/07/12 12,0.000,0.205,0.000,0.336
94/07/12 13,0.000,0.215,0.000,0.3345
94/07/12 14,0.000,0.192,0.000,0.336
94/07/12 15,0.000,0.175,0.000,0.333
94/07/12 16,0.000,0.116,0.000,0.3345
94/07/12 17,0.000,0.126,0.000,0.336
94/07/12 18,0.000,0.078,0.000,0.336
94/07/12 19,0.007,0.053,0.000,0.333
94/07/12 20,0.000,0.004,0.000,0.3338
94/07/12 21,0.000,0.000,0.000,0.3308
94/07/12 22,0.000,0.000,0.000,0.3574
94/07/12 23,0.000,0.000,0.000,0.3941
94/07/13 00,0.000,0.000,0.000,0.3809
94/07/13 01,0.001,0.000,0.001,0.3466
94/07/13 02,0.001,0.000,0.001,0.318
94/07/13 03,0.000,0.000,0.000,0.2969
94/07/13 04,0.000,0.000,0.000,0.2897
94/07/13 05,0.000,0.000,0.000,0.2989
94/07/13 06,0.000,0.003,0.000,0.3158
94/07/13 07,0.000,0.029,0.000,0.33
94/07/13 08,0.000,0.048,0.000,0.336
94/07/13 09,0.000,0.127,0.000,0.336
94/07/13 10,0.000,0.178,0.000,0.3353
94/07/13 11,0.000,0.155,0.000,0.3322
94/07/13 12,0.000,0.136,0.000,0.3308
94/07/13 13,0.000,0.179,0.000,0.33
94/07/13 14,0.000,0.161,0.000,0.33
94/07/13 15,0.000,0.172,0.000,0.327
94/07/13 16,0.000,0.135,0.000,0.3285
94/07/13 17,0.000,0.144,0.000,0.33
94/07/13 18,0.000,0.108,0.000,0.33
94/07/13 19,0.000,0.063,0.000,0.3248
94/07/13 20,0.005,0.010,0.000,0.3233
94/07/13 21,0.000,0.000,0.000,0.3195
94/07/13 22,0.000,0.000,0.000,0.318
94/07/13 23,0.000,0.000,0.000,0.318
94/07/14 00,0.000,0.000,0.000,0.3195
94/07/14 01,0.000,0.000,0.000,0.3202
94/07/14 02,0.000,0.000,0.000,0.324
94/07/14 03,0.000,0.000,0.000,0.324
94/07/14 04,0.000,0.000,0.000,0.324
94/07/14 05,0.000,0.000,0.000,0.3263
94/07/14 06,0.000,0.007,0.000,0.33
94/07/14 07,0.000,0.036,0.000,0.33
94/07/14 08,0.000,0.067,0.000,0.33
94/07/14 09,0.000,0.118,0.000,0.33
94/07/14 10,0.000,0.163,0.000,0.33
94/07/14 11,0.000,0.187,0.000,0.3248
94/07/14 12,0.000,0.204,0.000,0.3233
94/07/14 13,0.000,0.206,0.000,0.318
94/07/14 14,0.000,0.207,0.000,0.318
94/07/14 15,0.000,0.172,0.000,0.3202
94/07/14 16,0.000,0.154,0.000,0.3218
94/07/14 17,0.000,0.122,0.000,0.3218
94/07/14 18,0.000,0.090,0.000,0.324
94/07/14 19,0.000,0.057,0.000,0.3203
94/07/14 20,0.000,0.013,0.000,0.318
94/07/14 21,0.000,0.000,0.000,0.318
94/07/14 22,0.000,0.000,0.000,0.318
94/07/14 23,0.000,0.000,0.000,0.318
94/07/15 00,0.000,0.000,0.000,0.318
94/07/15 01,0.000,0.000,0.000,0.3188
94/07/15 02,0.000,0.000,0.000,0.324
94/07/15 03,0.000,0.000,0.000,0.324
94/07/15 04,0.000,0.000,0.000,0.3255
94/07/15 05,0.000,0.001,0.000,0.3293
94/07/15 06,0.000,0.007,0.000,0.33
94/07/15 07,0.000,0.028,0.000,0.33
94/07/15 08,0.000,0.041,0.000,0.33
94/07/15 09,0.000,0.053,0.000,0.33
94/07/15 10,0.000,0.052,0.000,0.3278
94/07/15 11,0.008,0.052,0.000,0.3255
94/07/15 12,0.000,0.052,0.000,0.324
94/07/15 13,0.000,0.070,0.000,0.324
94/07/15 14,0.000,0.082,0.000,0.3263
94/07/15 15,0.000,0.142,0.000,0.33
94/07/15 16,0.000,0.134,0.000,0.33
94/07/15 17,0.000,0.141,0.000,0.3308
94/07/15 18,0.000,0.098,0.000,0.3345
94/07/15 19,0.000,0.061,0.000,0.3353
94/07/15 20,0.002,0.009,0.000,0.33
94/07/15 21,0.000,0.000,0.000,0.33
94/07/15 22,0.000,0.000,0.000,0.3278
94/07/15 23,0.000,0.000,0.000,0.3278
94/07/16 00,0.002,0.000,0.002,0.33
94/07/16 01,0.000,0.000,0.000,0.33
94/07/16 02,0.000,0.000,0.000,0.33
94/07/16 03,0.000,0.002,0.000,0.33
94/07/16 04,0.000,0.011,0.000,0.3338
94/07/16 05,0.000,0.012,0.000,0.336
94/07/16 06,0.000,0.017,0.000,0.333
94/07/16 07,0.000,0.030,0.000,0.3338
94/07/16 08,0.000,0.048,0.000,0.33
94/07/16 09,0.000,0.079,0.000,0.33
94/07/16 10,0.000,0.102,0.000,0.3262
94/07/16 11,0.000,0.137,0.000,0.324
94/07/16 12,0.000,0.169,0.000,0.3203
94/07/16 13,0.000,0.175,0.000,0.318
94/07/16 14,0.000,0.180,0.000,0.3142
94/07/16 15,0.000,0.168,0.000,0.3135
94/07/16 16,0.000,0.130,0.000,0.312
94/07/16 17,0.000,0.122,0.000,0.312
94/07/16 18,0.000,0.086,0.000,0.3128
94/07/16 19,0.000,0.035,0.000,0.315
94/07/16 20,0.000,0.001,0.000,0.315
94/07/16 21,0.000,0.000,0.000,0.318
94/07/16 22,0.000,0.000,0.000,0.3172
94/07/16 23,0.000,0.000,0.000,0.3165
94/07/17 00,0.002,0.000,0.002,0.3165
94/07/17 01,0.000,0.000,0.000,0.312
94/07/17 02,0.000,0.000,0.000,0.3128
94/07/17 03,0.000,0.000,0.000,0.3188
94/07/17 04,0.000,0.000,0.000,0.333
94/07/17 05,0.000,0.000,0.000,0.3375
94/07/17 06,0.000,0.013,0.000,0.33
94/07/17 07,0.000,0.043,0.000,0.315
94/07/17 08,0.000,0.074,0.000,0.312
94/07/17 09,0.000,0.114,0.000,0.3158
94/07/17 10,0.000,0.153,0.000,0.315
94/07/17 11,0.000,0.163,0.000,0.3158
94/07/17 12,0.000,0.140,0.000,0.312
94/07/17 13,0.007,0.175,0.000,0.312
94/07/17 14,0.000,0.167,0.000,0.312
94/07/17 15,0.000,0.153,0.000,0.312
94/07/17 16,0.000,0.074,0.000,0.3105
94/07/17 17,0.000,0.075,0.000,0.309
94/07/17 18,0.000,0.057,0.000,0.3105
94/07/17 19,0.000,0.041,0.000,0.312
94/07/17 20,0.000,0.005,0.000,0.312
94/07/17 21,0.000,0.000,0.000,0.312
94/07/17 22,0.007,0.000,0.007,0.312
